index,prenoms,sexe,nombre_prenoms_sexe,nombre_prenoms,proportion
0,aaliyah,F,26,26,1.0
1,aaron,M,1042,1042,1.0
2,abd,M,5,5,1.0
3,abdallah,M,80,80,1.0
4,abdel,M,19,19,1.0
5,abdelkader,M,36,36,1.0
6,abdellah,M,6,6,1.0
7,abderrahmane,M,17,17,1.0
8,abdou,M,21,21,1.0
9,abdoul,M,42,42,1.0
10,abdoulaye,M,173,173,1.0
11,abdourahmane,M,5,5,1.0
12,abel,M,325,325,1.0
13,abigail,F,19,19,1.0
14,abigaël,F,50,50,1.0
15,abigaëlle,F,11,11,1.0
16,abigaïl,F,5,5,1.0
17,aboubacar,M,105,105,1.0
18,aboubakar,M,43,43,1.0
19,abraham,M,13,13,1.0
20,aby,F,17,17,1.0
21,achille,M,434,434,1.0
22,achraf,M,5,5,1.0
23,ada,F,12,12,1.0
24,adam,M,3231,3231,1.0
25,adama,M,155,155,1.0
26,adame,M,46,46,1.0
27,adel,M,174,174,1.0
28,adelaïde,F,74,74,1.0
29,adelie,F,36,36,1.0
30,adeline,F,34,34,1.0
31,adem,M,233,233,1.0
32,aden,M,5,5,1.0
33,adib,M,5,5,1.0
34,adil,M,43,43,1.0
35,adja,F,18,18,1.0
36,adrian,M,140,140,1.0
37,adriana,F,90,90,1.0
38,adriano,M,7,7,1.0
39,adrien,M,1784,1784,1.0
40,adèle,F,1262,1262,1.0
41,agathe,F,1269,1269,1.0
42,aglae,F,14,14,1.0
43,agnès,F,72,72,1.0
44,ahmad,M,13,13,1.0
45,ahmed,M,388,388,1.0
46,aicha,F,5,5,1.0
47,aidan,M,5,5,1.0
48,aiden,M,5,5,1.0
49,aimee,F,31,31,1.0
50,aissatou,F,5,5,1.0
51,akram,M,20,20,1.0
52,aksel,M,102,102,1.0
53,aksil,M,15,15,1.0
54,alain,M,6,6,1.0
55,alan,M,228,228,1.0
56,alana,F,5,5,1.0
57,alassane,M,52,52,1.0
58,alaïs,F,5,5,1.0
59,alba,F,43,43,1.0
60,alban,M,394,394,1.0
61,albane,F,311,311,1.0
62,albert,M,84,84,1.0
63,albertine,F,7,7,1.0
64,albin,M,5,5,1.0
65,alec,M,19,19,1.0
66,aleksandar,M,7,7,1.0
67,aleksandra,F,13,13,1.0
68,alessandro,M,103,103,1.0
69,alessia,F,13,13,1.0
70,alessio,M,24,24,1.0
71,alex,M,409,409,1.0
72,alexander,M,87,87,1.0
73,alexandra,F,440,440,1.0
74,alexandre,M,3785,3785,1.0
