perso_nom;perso_genre
gay-lussac;M
gutenberg;M
coluche;M
berlioz;M
d'artagnan;M
barthez;M
bossuet;M
balzac;M
gambetta;M
magellan;M
montgolfier;M
michelet;M
bremontier;M
lully;M
mozart;M
pasteur;M
descartes;M
ampere;M
lamartine;M
vivaldi;M
fenelon;M
racine;M
richelieu;M
saint-exupery;M
guynemer;M
lafayette;M
lavoisier;M
berthelot;M
branly;M
chanzy;M
denfert-rochereau;M
voltaire;M
montaigne;M
bourdieu;M
ausone;M
gagarine;M
socrate;M
andromede;F
copernic;M
d'alembert;M
archimede;M
danton;M
colbert;M
bizet;M
demosthene;M
diderot;M
euclide;M
massenet;M
pythagore;M
thales;M
blanqui;M
boileau;M
ronsard;M
robespierre;M
berland;M
allende;M
poincare;M
saint-saëns;M
godard;M
jullian;M
